CustomerID,Lookalikes
C0001,"[('C0137', 0.9999999999343412), ('C0152', 0.9999999998705668), ('C0091', 0.9999999927834025)]"
C0002,"[('C0088', 0.9999999811570933), ('C0134', 0.9999999604632347), ('C0084', 0.9999999401359712)]"
C0003,"[('C0133', 0.9999999948892542), ('C0131', 0.999999994555152), ('C0036', 0.9999999909368984)]"
C0004,"[('C0197', 0.9999999972360923), ('C0113', 0.9999999972312384), ('C0067', 0.9999999970834414)]"
C0005,"[('C0021', 0.9999999999991751), ('C0178', 0.9999999999981948), ('C0159', 0.999999999631108)]"
C0006,"[('C0050', 0.9999999978300065), ('C0171', 0.9999999916619715), ('C0185', 0.9999999896602564)]"
C0007,"[('C0045', 0.9999999999999081), ('C0145', 0.9999999987483638), ('C0101', 0.9999999951818802)]"
C0008,"[('C0010', 0.9999999934264066), ('C0139', 0.9999999810418271), ('C0111', 0.999999980600945)]"
C0009,"[('C0049', 0.9999999624212186), ('C0147', 0.9999999520185657), ('C0094', 0.999999817659565)]"
C0010,"[('C0008', 0.9999999934264066), ('C0047', 0.9999999874306444), ('C0139', 0.9999999848519778)]"
C0011,"[('C0107', 0.9999999989530187), ('C0048', 0.9999999987948652), ('C0176', 0.999999997124286)]"
C0012,"[('C0026', 0.999999999752767), ('C0132', 0.9999999972272894), ('C0013', 0.999999997105034)]"
C0013,"[('C0102', 0.9999999996279609), ('C0099', 0.9999999982782607), ('C0104', 0.9999999978127196)]"
C0014,"[('C0077', 0.9999998021581664), ('C0025', 0.999999023857247), ('C0071', 0.999999006909342)]"
C0015,"[('C0144', 0.999999961995416), ('C0112', 0.9999999612321285), ('C0192', 0.9999999402653228)]"
C0016,"[('C0183', 0.9999999999618397), ('C0155', 0.9999999990712002), ('C0167', 0.9999999965862342)]"
C0017,"[('C0124', 0.9999999988542687), ('C0081', 0.9999999973538813), ('C0179', 0.9999999971781796)]"
C0018,"[('C0087', 0.9999999992494446), ('C0188', 0.9999999981162), ('C0117', 0.9999999955536352)]"
C0019,"[('C0172', 0.9999999997985716), ('C0111', 0.9999999765690284), ('C0098', 0.999999962129791)]"
C0020,"[('C0095', 0.9999998739820765), ('C0144', 0.9999996974823684), ('C0112', 0.999999697115355)]"
